Время,Канал A
(mс),(В)

-0.88079179,-0.23816650
-0.88047179,-0.15009000
-0.88015179,-0.06195258
-0.87983179,0.02612384
-0.87951179,0.09656057
-0.87919179,0.20227670
-0.87887179,0.27277440
-0.87855179,0.34321110
-0.87823179,0.41370890
-0.87791179,0.48420670
-0.87759179,0.55464340
-0.87727179,0.60750140
-0.87695179,0.66035950
-0.87663179,0.71321760
-0.87631179,0.74849690
-0.87599179,0.78371530
-0.87567179,0.80135500
-0.87535179,0.81893370
-0.87503179,0.81893370
-0.87471179,0.83657340
-0.87439179,0.81893370
-0.87407179,0.78371530
-0.87375179,0.76607560
-0.87343179,0.73085730
-0.87311179,0.69563890
-0.87279179,0.64278080
-0.87247179,0.58992280
-0.87215179,0.51942500
-0.87183179,0.46656700
-0.87151179,0.39606920
-0.87119179,0.32563250
-0.87087179,0.23749500
-0.87055179,0.16705830
-0.87023179,0.09656057
-0.86991179,0.00848415
-0.86959179,-0.07959227
-0.86927179,-0.15009000
-0.86895179,-0.22052680
-0.86863179,-0.29102450
-0.86831179,-0.36152230
-0.86799179,-0.43195900
-0.86767179,-0.50245670
-0.86735179,-0.55531480
-0.86703179,-0.59053310
-0.86671179,-0.64339120
-0.86639179,-0.69624920
-0.86607179,-0.71388900
-0.86575179,-0.73152870
-0.86543179,-0.74910740
-0.86511179,-0.76674710
-0.86479179,-0.76674710
-0.86447179,-0.74910740
-0.86415179,-0.73152870
-0.86383179,-0.71388900
-0.86351179,-0.67867060
-0.86319179,-0.64339120
-0.86287179,-0.59053310
-0.86255179,-0.55531480
-0.86223179,-0.50245670
-0.86191179,-0.43195900
-0.86159179,-0.37910090
-0.86127179,-0.30866420
-0.86095179,-0.23816650
-0.86063179,-0.16766870
-0.86031179,-0.09723197
-0.85999179,-0.00909452
-0.85967179,0.06134221
-0.85935179,0.13177890
-0.85903179,0.20227670
-0.85871179,0.27277440
-0.85839179,0.32563250
-0.85807179,0.39606920
-0.85775179,0.44892730
-0.85743179,0.50178530
-0.85711179,0.55464340
-0.85679179,0.58992280
-0.85647179,0.62514110
-0.85615179,0.66035950
-0.85583179,0.69563890
-0.85551179,0.69563890
-0.85519179,0.69563890
-0.85487179,0.71321760
-0.85455179,0.71321760
-0.85423179,0.69563890
-0.85391179,0.67799920
-0.85359179,0.64278080
-0.85327179,0.62514110
-0.85295179,0.57228310
-0.85263179,0.53706470
-0.85231179,0.48420670
-0.85199179,0.43134860
-0.85167179,0.36085090
-0.85135179,0.30799280
-0.85103179,0.25513470
-0.85071179,0.18463700
-0.85039179,0.11420030
-0.85007179,0.04376354
-0.84975179,-0.02673421
-0.84943179,-0.09723197
-0.84911179,-0.16766870
-0.84879179,-0.22052680
-0.84847179,-0.29102450
-0.84815179,-0.34388260
-0.84783179,-0.39674060
-0.84751179,-0.46723840
-0.84719179,-0.50245670
-0.84687179,-0.53767510
-0.84655179,-0.57295450
-0.84623179,-0.60817280
-0.84591179,-0.62581250
-0.84559179,-0.64339120
-0.84527179,-0.66103090
-0.84495179,-0.66103090
-0.84463179,-0.66103090
-0.84431179,-0.64339120
-0.84399179,-0.62581250
-0.84367179,-0.59053310
-0.84335179,-0.57295450
-0.84303179,-0.53767510
-0.84271179,-0.50245670
-0.84239179,-0.44959870
-0.84207179,-0.39674060
-0.84175179,-0.36152230
-0.84143179,-0.29102450
-0.84111179,-0.23816650
-0.84079179,-0.18530840
-0.84047179,-0.11481060
-0.84015179,-0.04437391
-0.83983179,0.00848415
-0.83951179,0.07892086
-0.83919179,0.13177890
-0.83887179,0.20227670
-0.83855179,0.27277440
-0.83823179,0.32563250
-0.83791179,0.36085090
-0.83759179,0.41370890
-0.83727179,0.46656700
-0.83695179,0.48420670
-0.83663179,0.53706470
-0.83631179,0.57228310
-0.83599179,0.58992280
-0.83567179,0.60750140
-0.83535179,0.62514110
-0.83503179,0.62514110
-0.83471179,0.62514110
-0.83439179,0.60750140
-0.83407179,0.58992280
-0.83375179,0.57228310
-0.83343179,0.55464340
-0.83311179,0.51942500
-0.83279179,0.48420670
-0.83247179,0.44892730
-0.83215179,0.39606920
-0.83183179,0.34321110
-0.83151179,0.29035310
-0.83119179,0.25513470
-0.83087179,0.18463700
-0.83055179,0.13177890
-0.83023179,0.06134221
-0.82991179,0.00848415
-0.82959179,-0.06195258
-0.82927179,-0.11481060
-0.82895179,-0.16766870
-0.82863179,-0.22052680
-0.82831179,-0.25580610
-0.82799179,-0.32624290
-0.82767179,-0.37910090
-0.82735179,-0.41438030
-0.82703179,-0.44959870
-0.82671179,-0.50245670
-0.82639179,-0.52009640
-0.82607179,-0.53767510
-0.82575179,-0.55531480
-0.82543179,-0.57295450
-0.82511179,-0.57295450
-0.82479179,-0.57295450
-0.82447179,-0.57295450
-0.82415179,-0.55531480
-0.82383179,-0.53767510
-0.82351179,-0.52009640
-0.82319179,-0.48481700
-0.82287179,-0.46723840
-0.82255179,-0.41438030
-0.82223179,-0.37910090
-0.82191179,-0.32624290
-0.82159179,-0.29102450
-0.82127179,-0.23816650
-0.82095179,-0.18530840
-0.82063179,-0.13245030
-0.82031179,-0.07959227
-0.81999179,-0.00909452
-0.81967179,0.04376354
-0.81935179,0.09656057
-0.81903179,0.14941860
-0.81871179,0.20227670
-0.81839179,0.25513470
-0.81807179,0.30799280
-0.81775179,0.34321110
-0.81743179,0.39606920
-0.81711179,0.41370890
-0.81679179,0.46656700
-0.81647179,0.48420670
-0.81615179,0.51942500
-0.81583179,0.53706470
-0.81551179,0.55464340
-0.81519179,0.55464340
-0.81487179,0.55464340
-0.81455179,0.55464340
-0.81423179,0.53706470
-0.81391179,0.51942500
-0.81359179,0.50178530
-0.81327179,0.48420670
-0.81295179,0.44892730
-0.81263179,0.41370890
-0.81231179,0.37849060
-0.81199179,0.32563250
-0.81167179,0.29035310
-0.81135179,0.25513470
-0.81103179,0.18463700
-0.81071179,0.13177890
-0.81039179,0.07892086
-0.81007179,0.04376354
-0.80975179,-0.02673421
-0.80943179,-0.07959227
-0.80911179,-0.13245030
-0.80879179,-0.16766870
-0.80847179,-0.22052680
-0.80815179,-0.27338480
-0.80783179,-0.30866420
-0.80751179,-0.36152230
-0.80719179,-0.39674060
-0.80687179,-0.43195900
-0.80655179,-0.44959870
-0.80623179,-0.48481700
